Nitrogen, Ion (N2+)	N2+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf					
298.15	29.137	197.660	197.660	0.	1509.499	1501.440	-263.046
300	29.139	197.840	197.660	0.054	1509.538	1501.390	-261.415
400	29.321	206.242	198.804	2.975	1511.620	1498.361	-195.666
500	29.752	212.827	200.973	5.927	1513.711	1494.804	-156.161
600	30.379	218.305	203.418	8.933	1515.812	1490.826	-129.788
700	31.097	223.042	205.890	12.006	1517.922	1486.495	-110.924
800	31.819	227.242	208.302	15.153	1520.037	1481.861	-96.756
900	32.495	231.030	210.620	18.369	1522.155	1476.962	-85.721
1000	33.108	234.486	212.836	21.650	1524.275	1471.826	-76.880
1100	33.657	237.668	214.951	24.988	1526.395	1466.479	-69.637
1200	34.148	240.617	216.968	28.379	1528.515	1460.939	-63.593
